,newid,year,franchiseid_clean,bank,pp_type,latitud,longitud,province,district_str,matching_accuracy,num_transac,PROVINCE,PROVINCE_0,bank_district,counter,dup,bank_cat,payment_method,start_date,n_beneficiaries,BVS_district,_merge,BVS_group,start_date_pp,end_date_pp,treatment_dt,pp_active
104858,22994.0,2018,,UBL,POS,27.589418411254883,68.00440979003906,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
104995,23022.0,2015,,UBL,POS,25.461463928222656,68.71520233154297,,TANDO M. KHAN,4.0,,,Sind,SINDH,2824.0,0.0,3.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
104998,23022.0,2018,248925,UBL,POS,25.461463928222656,68.71520233154297,Sind,TANDO M. KHAN,4.0,3091.0,Sind,Sind,SINDH,2824.0,0.0,3.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,1.0
105030,23029.0,2015,,UBL,POS,24.727848052978516,68.25752258300781,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
105033,23029.0,2018,,UBL,POS,24.727848052978516,68.25752258300781,,THATTA,3.0,,,Sind,UBL,38224.0,0.0,6.0,BVS,2017-03-25,139243.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
105065,23036.0,2015,,UBL,POS,27.300477981567383,68.4021224975586,,KHAIRPUR,4.0,,,Sind,HBL,18823.0,0.0,2.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
105068,23036.0,2018,,UBL,POS,27.300477981567383,68.4021224975586,,KHAIRPUR,4.0,,,Sind,HBL,18823.0,0.0,2.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,0.0
105190,23061.0,2015,,UBL,POS,30.8923500006848,71.6403215411353,,JHANG,3.0,,,Punjab,UBL,9446.0,0.0,6.0,BVS,2017-03-25,39597.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
105193,23061.0,2018,252720,UBL,POS,30.8923500006848,71.6403215411353,Punjab,JHANG,3.0,1793.0,Punjab,Punjab,UBL,9446.0,0.0,6.0,BVS,2017-03-25,39597.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
105210,23065.0,2015,,UBL,POS,27.936689376831055,68.0686264038086,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
105213,23065.0,2018,253095,UBL,POS,27.936689376831055,68.0686264038086,Sind,LARKANA,3.0,3601.0,Sind,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
